LON,LAT,EEZID,Potential_Farm_Location,MHW,TS_AEP,bathymetry_class,N_components,RiskScore
-173.75,-42.75,554,1,80.5681686,4.941855,-100,3,7.082383633
-173.75,-42.25,554,1,80.0299683,4.8093119,-100,3,7.018124399
-173.75,48.75,959,1,112.6480865,1.7023101,-100,3,8.09570232
-173.75,49.25,959,1,113.3371582,1.735823,-100,3,8.211863243
-173.75,49.75,959,1,109.4038467,1.7374691,-100,3,7.977069889
-173.75,50.25,959,1,109.9298325,1.7315799,-100,3,8.015378278
-173.75,50.75,959,1,106.8885498,1.7449472,-100,3,7.842372649
-173.75,51.25,959,1,107.8585892,1.7966243,-100,3,8.001784979
-173.75,51.75,959,1,111.1839294,1.8038454,-100,3,8.209391734
-173.75,52.25,959,1,110.8452682,1.7312286,-100,3,8.063572704
-173.75,54.25,959,1,111.2184982,1.8000288,-100,3,8.205684471
-173.75,54.75,959,1,114.6093674,1.840855,-100,3,8.386104627
-173.75,55.25,959,1,112.9516373,1.7923136,-100,3,8.276122477
-173.75,55.75,959,1,114.730545,1.6648035,-100,3,8.166140327
-173.25,-47.25,554,1,71.6151276,3.17819,-100,3,6.166689551
-173.25,-46.75,554,1,71.6151276,3.3346288,-100,3,6.195111904
-173.25,-46.25,554,1,77.2776718,3.5970728,-100,3,6.578195798
-173.25,-45.75,554,1,77.2776718,3.7880144,-100,3,6.609089661
-173.25,-45.25,554,1,82.0778732,4.1139321,-100,3,7.099684196
-173.25,-44.25,554,1,80.7676468,4.6353655,-100,3,7.039132226
-173.25,-43.75,554,1,80.7676468,4.7818408,-100,3,7.062611561
-173.25,-43.25,554,1,79.8671417,4.9121242,-100,3,7.010709872
-173.25,-42.75,554,1,79.8671417,4.9219594,-100,3,7.01565289
-173.25,-42.25,554,1,80.0299683,5.0946612,-100,3,7.061375807
-173.25,48.75,959,1,112.6480865,1.7037472,-100,3,8.098173829
-173.25,49.25,959,1,112.6480865,1.7746081,-100,3,8.221749279
-173.25,49.75,959,1,109.4038467,1.7577052,-100,3,8.03515035
-173.25,50.25,959,1,109.4038467,1.7040733,-100,3,7.918989427
-173.25,50.75,959,1,106.8885498,1.6962668,-100,3,7.769463133
-173.25,51.25,959,1,106.8885498,1.6906421,-100,3,7.763284361
-173.25,52.25,959,1,111.1839294,1.8040627,-100,3,8.215570507
-173.25,54.25,959,1,112.7438507,1.7946154,-100,3,8.258821914
-173.25,54.75,959,1,114.6093674,1.8355908,-100,3,8.382397364
-173.25,59.25,959,1,132.6759033,1.259745,-50,3,9.408073596
-173.25,59.75,959,1,132.6759033,0.9771405,-50,3,9.176987505
-172.75,-46.25,554,1,75.1852341,3.7080617,-100,3,6.431141013
-172.75,-45.25,554,1,77.4178848,4.1809855,-100,3,6.678291913
-172.75,-44.75,554,1,82.0778732,4.5046077,-100,3,7.130578058
-172.75,-44.25,554,1,77.1274719,4.7121725,-100,3,6.726486338
-172.75,-43.75,554,1,80.7676468,4.7091317,-100,3,7.050254016
-172.75,-43.25,554,1,77.6941986,4.9464121,-100,3,6.836468488
-172.75,-42.75,554,1,79.8671417,5.0910139,-100,3,7.032953453
-172.75,-42.25,554,1,78.3993073,5.2639608,-100,3,6.942743375
-172.75,48.75,959,1,112.0294724,1.7246082,-100,3,8.122888919
-172.75,49.25,959,1,112.6480865,1.754557,-100,3,8.187148153
-172.75,49.75,959,1,109.2802505,1.7678348,-100,3,8.042564877
-172.75,50.25,959,1,109.4038467,1.741502,-100,3,7.991898943
-172.75,50.75,959,1,106.9038315,1.7177505,-100,3,7.807771523
